,Tweet_Text,created,Twitter_screenname,Followers,id,location
1067,"@ydnad0 @Indiametdept @moesgoi @DGCAIndia @rajeevan61 @DrJitendraSingh In the US, pilots also reassure passengers when turbulence occurs. In India it is just silence, no pilot talk nor diversion @IndiGo6E should take a lead as they have maximum market sha",2022-05-03 04:36:44+00:00,joshianil00,238,1.52135E+18,Mumbai
1069,@AakashKgp @airvistara Nice way of advertising 😄,2022-05-03 04:19:43+00:00,Abhishe81145110,1,1.52134E+18,
1071,Couldn't find my boarding gate till an affable flight steward from @airvistara Bangalore went out of his way to help me locate my @indigo flight gate. Thank you Santosh. May your tribe increase.,2022-05-03 03:48:42+00:00,NayareAli1,292,1.52134E+18,"Bengaluru, India"
1072,"@airvistara I am trying to check-in for an international flight. Under the Visa section the ""Country"" field refers to Destination Country (Singapore in my case) or the Country in which the visa was issued (India in my case). Please clarify. https://t.co/J",2022-05-03 03:33:18+00:00,Tushar_4_tweet,9,1.52133E+18,Mumbai
1073,@airvistara Disgraceful experience . Not to be pardoned,2022-05-03 03:22:05+00:00,BrahattKiran,0,1.52133E+18,
1074,"@airvistara Dear Mr.Brahatt, Our earnest apologies for the delayed response. As checked, a refund has been claimed for UK969/17Apr. Feel free to write back. Thanks, Deepshika",2022-05-03 03:21:40+00:00,BrahattKiran,0,1.52133E+18,
1075,@AnantOfficial @AakashKgp @airvistara Ha ha true😂,2022-05-03 03:12:08+00:00,apprajit1,25,1.52133E+18,
1076,@AakashKgp @airvistara Cute🤩,2022-05-03 03:11:48+00:00,apprajit1,25,1.52133E+18,
1080,@cjb_aviation @airvistara Any update on CJB - DXB direct service after the meeting b/n KGF &amp; flydubai CEO?,2022-05-03 02:44:16+00:00,SivaArumugam44,30,1.52132E+18,"Hyderabad, India"
1084,@rohanduaT02 @airvistara @TataCompanies You may have traveled in business class. I have even not get food as a have requested for Jain Meal and staff told me it's not possible though I have communicated from CS team of Vistara for this. Can not be Full se,2022-05-03 02:20:17+00:00,hemal_parshwa,7,1.52131E+18,
