,Tweet_Text,created,Twitter_screenname,Followers,id,location
278,"@RahulChat73 @zyadaahorahahai @DharmaPersona2 @PIB_India Bruh airindia was doing good until govt took it over,and t… https://t.co/QLt4NXe7N1",2022-05-03 10:43:29+00:00,suhanrshetty460,13,1.52E+18,
279,#Airindia Had a horrible experience with Air India. I had a flight AI956 from Dubai to Delhi on 2 May 2022. My food… https://t.co/BhjkXqjW5M,2022-05-03 10:20:53+00:00,Rajat28688516,4,1.52E+18,
280,"@airindiain Is AirIndia accepting pets (dog, breed: Pug) in domestic flight?",2022-05-03 08:55:29+00:00,Rabindr03756742,1,1.52E+18,
281,"RT @Sarang_D: 15 hours delayed from SFO to DEL, no support and then this is how it’s inside. Want to support our country but how can the hi…",2022-05-03 08:54:45+00:00,politictweets2,252,1.52E+18,National Prayer Gift →
282,@airindiain Most respectable airlines try to make it right for inconveniences like this by offering at least some c… https://t.co/nowNRYyDRD,2022-05-03 08:49:02+00:00,Sarang_D,127,1.52E+18,"California, USA"
283,@airindiain @MoCA_India @TataCompanies No refund of cancelled airindia https://t.co/l9JLu4cPo1 seems after Tata Aqu… https://t.co/gGEbcvWke3,2022-05-03 08:33:39+00:00,ajit_000,8,1.52E+18,
284,"15 hours delayed from SFO to DEL, no support and then this is how it’s inside. Want to support our country but how… https://t.co/ipmMub8NBO",2022-05-03 08:24:18+00:00,Sarang_D,127,1.52E+18,"California, USA"
285,"@airindiain It's been a week now, no resolution on the issue has been done. I hope customer service is first priori… https://t.co/ZvXMCLfYVw",2022-05-03 08:23:03+00:00,mosiomflori,208,1.52E+18,Mumbai
286,@airindia is not respond my and @EaseMyTrip tweets. Kindly request you sir. Pleas response as soon as possible.… https://t.co/dyx1ZmZ4fs,2022-05-03 08:19:27+00:00,aryaman_khan,15,1.52E+18,
287,"RT @Mahesh_Kapoor: Recieved mylauggage from #airindiain just now after a struggle of 5days.Called customer care 275 times,call answered 27…",2022-05-03 08:08:43+00:00,uCloudifyAI,758,1.52E+18,
288,"Recieved mylauggage from #airindiain just now after a struggle of 5days.Called customer care 275 times,call answere… https://t.co/hm85rr8NX8",2022-05-03 08:08:37+00:00,Mahesh_Kapoor,49,1.52E+18,
289,@airindia this is continuation of prev tweet. I booked my son's flight to Dubai and paid additional Rs. 720 towards… https://t.co/FyNU3jN27D,2022-05-03 07:59:54+00:00,avneeshm,38,1.52E+18,Dubai
290,"Travelled with #airindiain recently,they missed mylauggage. Now I'm struggling from last 5days.Noone giving correct… https://t.co/2Zx5IrDqFq",2022-05-03 07:47:41+00:00,Mahesh_Kapoor,49,1.52E+18,
291,@airindiain @RNTata2000 the airline is has caused so much pain that hence forth I have decided never to book self o… https://t.co/2co40JdLK1,2022-05-03 07:40:22+00:00,vikasgeo,44,1.52E+18,
292,@RDXThinksThat @airindiain @TataCompanies @StarbucksIndia @MoCA_GoI @JM_Scindia @DelhiAirport @AAI_Official… https://t.co/Wx2VYAByvi,2022-05-03 07:38:49+00:00,Mahesh_Kapoor,49,1.52E+18,
293,@airindiain Worst seat after 12 hours of being miserable due to your horrible service... #neverEverInAirIndia… https://t.co/nBypdmNrHf,2022-05-03 07:22:38+00:00,EmmessRajesh,19,1.52E+18,NJ
294,Took a AirIndia flight from CDG to DEL. Baggage is missing since 30/04. Very rude answers from Delhi baggage counte… https://t.co/hv8LRH0L66,2022-05-03 07:22:22+00:00,nilay_sh,85,1.52E+18,"Paris, France"
295,RT @iamsrk: My heart goes out to the passengers and crew members onboard the #AirIndia flight. Deepest condolences to the bereaved families…,2022-05-03 07:14:57+00:00,shourya17023846,17,1.52E+18,
296,3. #airindia Aarti informed me that they never received the bag. Now no one in Air India has any clue about where m… https://t.co/xcg5F5mYGU,2022-05-03 06:55:25+00:00,pantsaurav,6,1.52E+18,
297,What a disappointing service from #airindia. I have booked tickets for my parents and had assigned seats (which was… https://t.co/C6j8prxrUu,2022-05-03 06:49:14+00:00,prits215,45,1.52E+18,
298,"Which is the Best Airline in India ?
#airindia #SpiceJet #Vistara #indigo 

#Airline #airlines",2022-05-03 06:23:30+00:00,niftydailylevel,45,1.52E+18,Gurugram 
299,@airindiain WORST AIRLINE!!! SHAME !! #AirIndia,2022-05-03 06:07:34+00:00,PriyankaM08,64,1.52E+18,"Mumbai, India"
300,When you guys wanted fare changes you sent email right away and told me to to pay that fare. now when i want my mon… https://t.co/GJ4ToYsGbA,2022-05-03 05:29:26+00:00,Sanamwaraich02,1,1.52E+18,
301,RT @padamshree: @airindiain My sister Mrs Chanda Sikaria took Airindia flight no AI184(PNR J64LH) Business class paying 4200 dollars from S…,2022-05-03 05:24:55+00:00,padamshree,274,1.52E+18,
302,RT @padamshree: @JM_Scindia @airindiain My sister Mrs Chanda Sikaria took Airindia flight no AI184(PNR J64LH) Business class paying 4200 do…,2022-05-03 05:24:51+00:00,padamshree,274,1.52E+18,
303,RT @padamshree: @DGCAIndia @JM_Scindia @airindiain My sister Mrs Chanda Sikaria took Airindia flight no AI184(PNR J64LH) Business class pay…,2022-05-03 05:24:31+00:00,padamshree,274,1.52E+18,
304,"@RNTata2000 
Have you ever traveled in airindia in the recent years?
Have you tried calling the air india customer… https://t.co/juxAypDIVj",2022-05-03 05:17:08+00:00,MustiSwaroop,0,1.52E+18,"Berlin, Germany"
305,"Hey @airindiain , If I had booked two tickets for a domestic travel under the same PNR, and if one person is not tr… https://t.co/tDcCOvZlkZ",2022-05-03 05:02:29+00:00,Adarsh637,1,1.52E+18,
306,"@TataCompanies please do consider rebrand AirIndia, I guess that is the worse thing and outdated thing. #Vistara is awesome.",2022-05-03 04:49:51+00:00,Vejeicdm,215,1.52E+18,"Chennai, India"
307,@airindiain PFA cancelled flight by #airindia https://t.co/ZkgAmfs2AD,2022-05-03 04:28:26+00:00,ecoteirra,30,1.52E+18,India
308,"@NupurDaveAuthor Once I flew non stop Delhi/Mumbai -Newark/Chicago 
AirIndia &amp; United Airlines
Never felt like choo… https://t.co/VBs1v18gBA",2022-05-03 04:26:45+00:00,HubballiNRI,268,1.52E+18,Boston | Hubballi | Kasaragod
